description,product_code,category,subcategory,pr_23,pr_24
"Refresco Coca-Cola Zero Zero",27462,"Agua y refrescos","Refresco de cola",2.1,1.99
"Refresco cola Hacendado Zero azúcar",29073,"Agua y refrescos","Refresco de cola",0.7,0.7
"Refresco cola Hacendado Zero azúcar",29033,"Agua y refrescos","Refresco de cola",1.92,1.92
"Refresco cola Hacendado Zero azúcar",29034,"Agua y refrescos","Refresco de cola",0.32,0.32
"Refresco cola Hacendado Zero azúcar Zero cafeína",29074,"Agua y refrescos","Refresco de cola",0.7,0.7
"Refresco cola Hacendado Zero azúcar Zero cafeína",29035,"Agua y refrescos","Refresco de cola",1.92,1.92
"Refresco cola Hacendado Zero azúcar Zero cafeína",29036,"Agua y refrescos","Refresco de cola",0.32,0.32
"Refresco cola Pepsi Zero azúcar",23898,"Agua y refrescos","Refresco de cola",1.69,1.69
"Refresco Coca-Cola Zero Zero",26997,"Agua y refrescos","Refresco de cola",9.12,10.44
"Refresco Coca-Cola Zero Zero",27559,"Agua y refrescos","Refresco de cola",0.85,0.89
"Refresco Coca-Cola Zero Zero",28180,"Agua y refrescos","Refresco de cola",4,3.9
"Refresco Coca-Cola Zero Zero",27462,"Agua y refrescos","Refresco de cola",2.1,1.99
"Refresco cola Hacendado Zero azúcar Zero cafeína",29074,"Agua y refrescos","Refresco de cola",0.7,0.7
"Refresco cola Hacendado Zero azúcar Zero cafeína",29035,"Agua y refrescos","Refresco de cola",1.92,1.92
"Refresco cola Hacendado Zero azúcar Zero cafeína",29036,"Agua y refrescos","Refresco de cola",0.32,0.32
"Refresco Fanta limón",27610,"Agua y refrescos","Refresco de naranja y de limón",1.75,1.79
"Refresco Fanta limón",13817,"Agua y refrescos","Refresco de naranja y de limón",6.03,6.57
"Refresco Fanta limón",27602,"Agua y refrescos","Refresco de naranja y de limón",0.7,0.75
"Refresco Fanta limón zero azúcares añadidos",27608,"Agua y refrescos","Refresco de naranja y de limón",0.7,0.75
"Refresco de limón Hacendado fresh gas",29077,"Agua y refrescos","Refresco de naranja y de limón",0.95,0.95
"Refresco de limón Hacendado fresh gas",29043,"Agua y refrescos","Refresco de naranja y de limón",1.92,2.1
"Refresco de limón Hacendado fresh gas",29044,"Agua y refrescos","Refresco de naranja y de limón",0.32,0.35
"Refresco de limón Hacendado zero azúcar fresh gas",29078,"Agua y refrescos","Refresco de naranja y de limón",0.87,0.95
"Refresco de limón Hacendado zero azúcar fresh gas",29045,"Agua y refrescos","Refresco de naranja y de limón",2.1,2.1
"Refresco de limón Hacendado zero azúcar fresh gas",29046,"Agua y refrescos","Refresco de naranja y de limón",0.35,0.35
"Refresco limón Schweppes original",27761,"Agua y refrescos","Refresco de naranja y de limón",7.04,7.52
"Refresco limón Schweppes original",27762,"Agua y refrescos","Refresco de naranja y de limón",0.89,0.95
"Refresco lima limón Sprite",26990,"Agua y refrescos","Refresco de naranja y de limón",1.54,1.59
"Refresco lima limón Sprite",28176,"Agua y refrescos","Refresco de naranja y de limón",4,4.56
"Refresco lima limón Sprite",27845,"Agua y refrescos","Refresco de naranja y de limón",0.53,0.59
"Refresco lima limón 7 Up zero azúcar",27763,"Agua y refrescos","Refresco de naranja y de limón",1.55,1.59
"Refresco lima limón 7 Up zero azúcar",22112,"Agua y refrescos","Refresco de naranja y de limón",4.68,4.95
"Refresco lima limón 7 Up zero azúcar",27770,"Agua y refrescos","Refresco de naranja y de limón",0.55,0.59
"Refresco lima limón Hacendado fresh gas",29079,"Agua y refrescos","Refresco de naranja y de limón",0.95,0.95
"Refresco lima limón Hacendado fresh gas",29047,"Agua y refrescos","Refresco de naranja y de limón",2.1,2.1
"Refresco lima limón Hacendado fresh gas",29048,"Agua y refrescos","Refresco de naranja y de limón",0.35,0.35
"Refresco lima limón Hacendado zero azúcar fresh gas",29064,"Agua y refrescos","Refresco de naranja y de limón",0.87,0.95
