description,units,price_eu,unit_price,date,order_num,product_code
morcilla oreada d' ontinyent,1,1.39,1.39,2018-04-12,73955,35049.0
ketchup heinz,1,2.45,2.45,2019-05-22,185199,
edulcorante en pastillas sacarina hacendado,1,1.05,1.05,2019-05-22,185199,
azucar moreno de cana integral acor,1,1.87,1.87,2019-05-22,185199,19832.0
azucar blanco,1,0.69,0.69,2019-05-22,185199,
nidos al huevo tagliatelle hacendado,1,1.15,1.15,2019-05-22,185199,
spaghetti hacendado,2,1.5,0.75,2019-05-22,185199,6277.0
albaricoque,1,0.21,0.21,2019-05-22,185199,
kiwi verde,4,1.17,0.2925,2019-05-22,185199,
salmon marinado ubago,1,2.35,2.35,2019-05-22,185199,53446.0
tomate frito hacendado,1,0.8,0.8,2019-05-22,185199,
nata ligera para cocinar hacendado,1,1.32,1.32,2019-05-22,185199,10320.0
salchichon extra hacendado lonchas,1,1.39,1.39,2019-05-22,185199,59090.0
bacon hacendado cintas,1,1.85,1.85,2019-05-22,185199,
papel multiusos resistente bosque verde,1,2.89,2.89,2019-05-22,185199,
mozzarella fresca hacendado,2,1.6,0.8,2019-05-22,185199,51050.0
spaghetti al huevo hacendado,1,0.99,0.99,2019-05-22,185199,
arroz cocido integral brillante,1,1.1,1.1,2019-05-22,185199,
jabon de manos dermoprotector deliplus liquido,1,0.8,0.8,2019-05-22,185199,
lavavajillas ultra original fairy liquido,1,2.8,2.8,2019-05-22,185199,16805.0
lomo embuchado hacendado lonchas,1,1.71,1.71,2019-05-22,185199,
angurinas pescanova ultracongeladas,1,2.19,2.19,2019-05-22,185199,
gel de bano oliva deliplus piel seca,1,1.35,1.35,2019-05-22,185199,
"champu agua de coco fructis raices grasas, puntas secas",1,2.95,2.95,2019-05-22,185199,
chocolate con leche lindt,1,1.25,1.25,2019-05-22,185199,
yogur bifidus desnatado hacendado frutas del bosque,1,0.95,0.95,2019-05-22,185199,
platano,5,1.77,0.354,2019-05-22,185199,3132.0
compresa con alas normal evax cotton like,1,3.95,3.95,2019-05-22,185199,47152.0
nispero,1,1.56,1.56,2019-05-22,185199,
solomillo de cerdo,1,4.99,4.99,2019-05-22,185199,
aguacate,1,1.86,1.86,2019-05-22,185199,
chorizo oreado,1,1.79,1.79,2019-05-22,185199,
queso havarti light hacendado lonchas,1,2.48,2.48,2019-05-22,185199,50546.0
paraguayo,4,0.73,0.1825,2019-05-09,278125,
melocoton amarillo,5,1.51,0.302,2019-05-09,278125,
harina de trigo hacendado,1,0.43,0.43,2019-05-09,278125,
crema al cacao con avellanas nutella,1,2.75,2.75,2019-05-09,278125,
tempura 7 verduras hacendado ultracongelada,1,1.85,1.85,2019-05-09,278125,61300.0
salmorejo fresco hacendado,1,2.96,2.96,2019-05-09,278125,
ensalada poke salmon,1,3.85,3.85,2019-05-09,278125,
queso en dados feta hacendado,1,1.7,1.7,2019-05-09,278125,51197.0
gazpacho fresco hacendado,1,2.69,2.69,2019-05-09,278125,
canonigos base para ensalada,1,1.19,1.19,2019-05-09,278125,
bolsa de basura grande bosque verde 50l cubo grande,1,1.55,1.55,2019-05-09,278125,
lavavajillas todo en 1 bosque verde en pastillas,1,2.7,2.7,2019-05-09,278125,
guantes de latex rubberex talla pequena,1,0.7,0.7,2019-05-09,278125,23628.0
salfumant bosque verde,1,0.75,0.75,2019-05-09,278125,
detergente ropa blanca y de color bosque verde liquido concentrado,1,6.95,6.95,2019-05-09,278125,
lejia con detergente bosque verde,1,0.71,0.71,2019-05-09,278125,
placas para lasana precocidas el pavo,1,1.25,1.25,2019-05-09,278125,
placas para canelones del castillo,1,0.58,0.58,2019-05-09,278125,
ketchup heinz,1,2.45,2.45,2019-05-09,278125,
spaghetti hacendado,2,1.5,0.75,2019-05-09,278125,6277.0
nidos al huevo tagliatelle hacendado,1,1.15,1.15,2019-05-09,278125,
champu anticaspa h&s cabello graso,1,2.99,2.99,2020-06-07,935378,35309.0
champu repara & protege pantene cabello debil y danado,3,8.97,2.99,2020-06-07,935378,
gel de bano oliva deliplus piel seca,3,4.05,1.35,2020-06-07,935378,
judia verde plana,1,2.49,2.49,2020-06-07,935378,
tomates cherry,1,1.49,1.49,2020-06-07,935378,
caldo de pollo hacendado,1,1.64,1.64,2020-06-07,935378,
dentifrico original binaca,2,3.0,1.5,2020-06-07,935378,
dentifrico max white one colgate,2,5.4,2.7,2020-06-07,935378,
discos desmaquillantes deliplus redondos,2,1.9,0.95,2020-06-07,935378,79407.0
crackers integrales de espelta bachman,1,1.5,1.5,2020-06-07,935378,
hogaza 100% natural,1,1.0,1.0,2020-06-07,935378,
