product_code,product_price,collected_timestamp
22455.0,1.0,2023-03-11 
16832.0,0.9,2023-03-11 
19897.0,1.35,2023-03-11 
19837.0,1.4,2023-03-11 
19857.0,1.9,2023-03-11 
19832.0,1.55,2023-03-11 
19859.0,2.0,2023-03-11 
86466.0,1.4,2023-03-11 
70741.0,0.85,2023-03-11 
19802.0,1.15,2023-03-11 
19808.0,1.2,2023-03-11 
19860.0,2.5,2023-03-11 
19820.0,2.2,2023-03-11 
19817.0,3.15,2023-03-11 
19812.0,1.85,2023-03-11 
19825.0,2.0,2023-03-11 
67637.0,3.25,2023-03-11 
65235.0,0.95,2023-03-11 
65067.0,1.95,2023-03-11 
65161.0,0.95,2023-03-11 
65172.0,1.95,2023-03-11 
65139.0,0.95,2023-03-11 
65136.0,2.6,2023-03-11 
65147.0,0.95,2023-03-11 
65164.0,0.95,2023-03-11 
65165.0,1.95,2023-03-11 
65135.0,0.95,2023-03-11 
65056.0,1.25,2023-03-11 
65140.0,0.95,2023-03-11 
65213.0,1.75,2023-03-11 
65177.0,1.25,2023-03-11 
65178.0,1.75,2023-03-11 
65241.0,0.95,2023-03-11 
65302.0,1.15,2023-03-11 
65123.0,1.15,2023-03-11 
65138.0,0.9,2023-03-11 
86290.0,1.1,2023-03-11 
65326.0,1.75,2023-03-11 
65298.0,2.35,2023-03-11 
65328.0,1.75,2023-03-11 
65299.0,2.35,2023-03-11 
65311.0,1.5,2023-03-11 
65324.0,1.0,2023-03-11 
65122.0,2.0,2023-03-11 
13388.0,1.9,2023-03-11 
65322.0,2.2,2023-03-11 
65420.0,1.8,2023-03-11 
65327.0,1.75,2023-03-11 
65143.0,1.35,2023-03-11 
13390.0,1.15,2023-03-11 
22823.0,1.3,2023-03-11 
86112.0,1.45,2023-03-11 
86026.0,1.15,2023-03-11 
60722.0,1.05,2023-03-11 
12531.0,1.15,2023-03-11 
12495.0,2.1,2023-03-11 
12582.0,0.8,2023-03-11 
12141.0,2.0,2023-03-11 
22704.0,1.25,2023-03-11 
23773.0,0.9,2023-03-11 
12481.0,1.4,2023-03-11 
12126.0,2.8,2023-03-11 
12130.0,2.75,2023-03-11 
12523.0,1.25,2023-03-11 
12460.0,1.55,2023-03-11 
12553.0,1.65,2023-03-11 
12139.0,2.85,2023-03-11 
22848.0,1.6,2023-03-11 
12431.0,1.5,2023-03-11 
12544.0,1.75,2023-03-11 
12480.0,1.9,2023-03-11 
12493.0,2.4,2023-03-11 
22703.0,1.25,2023-03-11 
12524.0,1.5,2023-03-11 
12530.0,1.8,2023-03-11 
12586.0,1.6,2023-03-11 
86799.0,1.1,2023-03-11 
60293.0,1.6,2023-03-11 
13653.0,0.95,2023-03-11 
12562.0,1.25,2023-03-11 
12099.0,1.3,2023-03-11 
12151.0,1.35,2023-03-11 
12037.0,1.45,2023-03-11 
12107.0,2.75,2023-03-11 
15633.0,1.0,2023-03-11 
12527.0,1.25,2023-03-11 
12098.0,1.3,2023-03-11 
60878.0,2.35,2023-03-11 
12140.0,2.85,2023-03-11 
12016.0,2.95,2023-03-11 
23837.0,1.0,2023-03-11 
32227.0,1.45,2023-03-11 
12533.0,1.5,2023-03-11 
12518.0,1.15,2023-03-11 
15527.0,1.1,2023-03-11 
70756.0,1.1,2023-03-11 
80465.0,1.6,2023-03-11 
12476.0,0.75,2023-03-11 
12543.0,1.5,2023-03-11 
