date,order_num,description,category,subcategory,units,price_eu,price_order,price_now
2020-01-10,302316,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2019-02-27,125935,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2018-04-12,73955,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2022-07-13,996926,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.85,1.85,2.4
2019-01-31,107492,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2022-09-28,470822,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,2.2,2.2,2.4
2018-11-13,61858,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,2,3.4,1.7,2.4
2021-09-09,101295,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,2,3.4,1.7,2.4
2022-09-11,786946,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,2.15,2.15,2.4
2020-08-27,134160,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2019-06-19,207666,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2020-01-10,302316,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2019-02-27,125935,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2018-04-12,73955,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2022-07-13,996926,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.85,1.85,2.4
2019-01-31,107492,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2022-09-28,470822,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,2.2,2.2,2.4
2018-11-13,61858,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,2,3.4,1.7,2.4
2021-09-09,101295,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,2,3.4,1.7,2.4
2022-09-11,786946,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,2.15,2.15,2.4
2020-08-27,134160,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2019-06-19,207666,"Tomate frito receta artesana Hacendado","Conservas, caldos y cremas",Tomate,1,1.7,1.7,2.4
2019-06-20,208575,"Tomate troceado pelado Hacendado","Conservas, caldos y cremas",Tomate,3,1.86,0.62,0.9
2023-03-18,13996475,"Acondicionador Repara & Protege Pantene","Cuidado del cabello","Acondicionador y mascarilla",1,3.8,3.8,3.6
2023-03-11,13945376,"Acondicionador Repara & Protege Pantene","Cuidado del cabello","Acondicionador y mascarilla",1,3.8,3.8,3.6
2023-01-04,13397754,"Acondicionador Repara & Protege Pantene","Cuidado del cabello","Acondicionador y mascarilla",1,3,3,3.6
2022-07-10,12804912,"Mascarilla Liss Frizz Control Deliplus cabello rebelde","Cuidado del cabello","Acondicionador y mascarilla",1,2,2,2.15
2020-06-18,5857032,"Mascarilla sin aclarado Curl Perfect Deliplus cabello rizado","Cuidado del cabello","Acondicionador y mascarilla",1,4.05,4.05,4
2023-03-11,13945376,"Sérum Anticaída Deliplus","Cuidado del cabello","Acondicionador y mascarilla",1,1.95,1.95,6.95
2022-10-13,12838037,"Sérum Anticaída Deliplus","Cuidado del cabello","Acondicionador y mascarilla",1,1.95,1.95,6.95
2022-12-12,13266605,"Champú Volumen Deliplus cabello fino y sin volumen","Cuidado del cabello",Champú,1,1.7,1.7,2.35
2022-07-10,12804912,"Champú Volumen Deliplus cabello fino y sin volumen","Cuidado del cabello",Champú,1,1.7,1.7,2.35
2023-02-18,13759447,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2023-02-11,13703740,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2023-01-21,13546313,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2022-12-21,13315781,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2022-12-07,13220829,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2022-11-09,13029815,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.5,1.5,1.55
2022-10-20,12878660,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.5,1.5,1.55
2023-02-18,13759447,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2023-02-11,13703740,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2023-01-21,13546313,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2022-12-21,13315781,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2022-12-07,13220829,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.55,1.55,1.55
2022-11-09,13029815,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.5,1.5,1.55
2022-10-20,12878660,"Papel higiénico húmedo WC Bosque Verde","Cuidado facial y corporal","Cuidado corporal",1,1.5,1.5,1.55
2019-02-27,125935,"Discos desmaquillantes Deliplus redondos algodón 100%","Cuidado facial y corporal","Cuidado e higiene facial",1,0.95,0.95,1.15
2020-10-22,404271,"Discos desmaquillantes Deliplus redondos algodón 100%","Cuidado facial y corporal","Cuidado e higiene facial",2,1.9,0.95,1.15
2018-04-12,73955,"Discos desmaquillantes Deliplus redondos algodón 100%","Cuidado facial y corporal","Cuidado e higiene facial",1,0.95,0.95,1.15
2020-06-07,935378,"Discos desmaquillantes Deliplus redondos algodón 100%","Cuidado facial y corporal","Cuidado e higiene facial",2,1.9,0.95,1.15
2019-01-31,107492,"Discos desmaquillantes Deliplus redondos algodón 100%","Cuidado facial y corporal","Cuidado e higiene facial",2,1.9,0.95,1.15
2020-09-18,238052,"Desmaquillador de ojos y labios bifásico Waterproof Facial Clean Deliplus","Cuidado facial y corporal","Cuidado e higiene facial",1,2.15,2.15,2
2020-10-12,7119732,"Leche facial limpiadora Facial Clean Deliplus","Cuidado facial y corporal","Cuidado e higiene facial",1,3.95,3.95,1.5
2020-10-12,7119732,"Mousse facial limpiadora purificante Deliplus Oil Free","Cuidado facial y corporal","Cuidado e higiene facial",1,1.95,1.95,4
