product_code,price_eu,collected_timestamp
28057.0,5.58,2024-03-13
27137.0,0.99,2024-03-13
66485.0,3.48,2024-03-13
66486.0,0.29,2024-03-13
66026.0,6.48,2024-03-13
27103.0,0.72,2024-03-13
66764.0,4.44,2024-03-13
66765.0,0.37,2024-03-13
66469.0,3.6,2024-03-13
66470.0,0.6,2024-03-13
66432.0,3.3,2024-03-13
66433.0,0.53,2024-03-13
22385.0,7.92,2024-03-13
66793.0,0.66,2024-03-13
66015.0,9.96,2024-03-13
27134.0,0.85,2024-03-13
23121.0,5.85,2024-03-13
66342.0,0.78,2024-03-13
27370.0,7.92,2024-03-13
27120.0,0.69,2024-03-13
