product,unidades,product_code
Banderillas dulces Hacendado en vinagre,Tarro 345 g (160 g escurrido),22154.0
Mix de encurtidos Hacendado,Tarro 670 g (370 g escurrido),73331.0
Pepinillos pequeños Hacendado,Tarro 425 g (250 g escurrido),33184.0
Altramuces Hacendado,Tarro 690 g (440 g escurrido),33136.0
Alcaparras Hacendado en vinagre,Tarro 135 g (80 g escurrido),33190.0
Pepinillos en vinagre Hacendado,Tarro 670 g (370 g escurrido),33182.0
Pepinillos agridulces Hacendado,Tarro 670 g (370 g escurrido),33187.0
Pepinillos agridulces Hacendado,Tarro 425 g (250 g escurrido),33152.0
Picadillo de variantes Hacendado,Tarro 425 g (260 g escurrido),33073.0
Pepinillos laminados agridulces Hacendado,Tarro 530 g (290 g escurrido),33100.0
Cebollitas Hacendado,Tarro 350 g (190 g escurrido),33141.0
Guindillas picantes Hacendado,Tarro 285 g (125 g escurrido),15966.0
Ajos aliñados Hacendado,Tarro 345 g (235 g escurrido),33022.0
Alcaparrones Hacendado en vinagre,Tarro 360 g (180 g escurrido),33159.0
Berenjenas de Almagro Antonio aliño suave,Bote 800 g (350 g escurrido),33108.0
Jalapeños picantes Hacendado en vinagre,Tarro 135 g (60 g escurrido),33189.0
Piparra Hacendado,Tarro 285 g (125 g escurrido),15967.0
Nuez natural Hacendado pelada,Paquete 200 g,34024.0
Almendra natural Hacendado,Paquete 200 g,34865.0
Pistacho tostado Hacendado con sal,Paquete 250 g,86202.0
Pipas girasol tostadas Hacendado gigante con sal,Paquete 200 g,34079.0
Pistacho tostado Hacendado 0% sal añadida,Paquete 250 g,86190.0
Cacahuete frito con sal Belnut pelado,Paquete 250 g,70702.0
Pipas girasol tostadas Hacendado gigante aguasal,Paquete 200 g,34078.0
Anacardo natural Hacendado,Paquete 200 g,23365.0
Palomitas de maíz con sal Hacendado para microondas,Paquete 3 ud. (270 g),34822.0
Anacardo frito salado Hacendado,Paquete 200 g,34027.0
Avellana tostada Hacendado 0% sal añadida,Paquete 200 g,34025.0
Almendra tostada y salada Hacendado con piel,Paquete 200 g,34013.0
Cacahuete frito y salado Hacendado con piel,Paquete 250 g,34868.0
Maíz frito crujiente y tierno Hacendado,Paquete 170 g,34821.0
