description,units,price_eu,unit_price,date,order_num,product_code
pasta maravilla hacendado,1,0.6,0.6,2018-11-13,61858,
noquis frescos de patata il pastaio,1,1.09,1.09,2018-11-13,61858,
pajaritas con vegetales hacendado,1,0.69,0.69,2018-11-13,61858,
lenteja cocida hacendado,1,0.59,0.59,2018-11-13,61858,
alubia cocida blanca hacendado,1,0.5,0.5,2018-11-13,61858,
garbanzo cocido hacendado,1,0.54,0.54,2018-11-13,61858,
arroz cocido integral brillante,1,1.1,1.1,2018-11-13,61858,
tortitas de maiz tex-mex hacendado,1,0.85,0.85,2018-11-13,61858,
aceitunas negras cacerenas hacendado a rodajas,1,1.5,1.5,2018-11-13,61858,
aceitunas manzanilla rellenas de anchoa hacendado,1,2.15,2.15,2018-11-13,61858,
agua mineral cortes,1,0.73,0.73,2018-11-13,61858,
arreglo arroz al horno,1,4.16,4.16,2018-11-13,61858,
longaniza fresca d' ontinyent,1,2.45,2.45,2018-11-13,61858,
morcilla oreada d' ontinyent,1,1.39,1.39,2018-11-13,61858,
queso havarti light hacendado lonchas,1,2.57,2.57,2018-11-13,61858,
queso de cabra semicurado montesinos,1,3.95,3.95,2018-11-13,61858,
cebollas nuevas,1,1.7,1.7,2020-12-15,686714,
zanahorias,1,0.69,0.69,2020-12-15,686714,
albondigas de carne tenedor plata ultracongeladas,1,1.6,1.6,2020-12-15,686714,
platano,5,1.96,0.392,2020-12-15,686714,
quitagrasas kh-7,1,2.69,2.69,2020-12-15,686714,
lavavajillas ultra original fairy liquido,1,2.4,2.4,2020-12-15,686714,
salmon marinado ubago,1,2.35,2.35,2020-12-15,686714,
corazones de alcachofa hacendado,1,2.3,2.3,2020-12-15,686714,
queso havarti light hacendado lonchas,1,2.58,2.58,2020-12-15,686714,
pan de molde con 30% avena hacendado,1,1.25,1.25,2020-12-15,686714,
rosquilletas tradicionales hacendado,1,1.0,1.0,2020-12-15,686714,
pan integral 100% rebanado,1,1.6,1.6,2020-12-15,686714,
perlas de mozzarella fresca hacendado,1,1.7,1.7,2020-12-15,686714,
corazones de alcachofa hacendado,1,2.3,2.3,2021-09-09,101295,
lavavajillas ultra original fairy liquido,1,2.4,2.4,2021-09-09,101295,
tomate frito receta artesana hacendado,2,3.4,1.7,2021-09-09,101295,
atun claro en aceite de oliva hacendado,1,3.95,3.95,2021-09-09,101295,
gelatina 0% azucar sabor fresa hacendado,2,1.8,0.9,2021-09-09,101295,
cafe en capsula ristretto l'or espresso,4,13.6,3.4,2021-09-09,101295,
agua mineral grande cortes,2,1.46,0.73,2021-09-09,101295,
garbanzo cocido hacendado,2,1.34,0.67,2021-09-09,101295,
papel higienico doble rollo bosque verde,1,3.95,3.95,2021-09-09,101295,
leche desnatada pascual,2,10.68,5.34,2021-09-09,101295,
morcilla oreada d' ontinyent,1,1.54,1.54,2021-09-09,101295,
salmon ahumado hacendado,1,2.65,2.65,2021-09-09,101295,
comida perro adulto supreme compy con salmon y arroz,1,4.5,4.5,2021-09-09,101295,
rosquilletas de horno saladitas anitin,1,1.35,1.35,2021-09-09,101295,
