categoria,subcategoria,descripcion,unidades,precio,marca
Despensa,Aperitivos y frutos secos,Patatas Fritas Sal al Horno 150 Gr,"15,93 € / 1 Kg","2,39 €",LAY'S
Despensa,Aperitivos y frutos secos,Cóctel Picante Bote 235 Gr,"9,35 € / 1 Kg","2,15 €",CORBI
Despensa,Aperitivos y frutos secos,Mix Barbacoa Bolsa 195 Gr,"10,00 € / 1 Kg","1,95 €",MISTERCORN
Despensa,Aperitivos y frutos secos,Mix Picante Bolsa 195 Gr,"10,00 € / 1 Kg","1,95 €",MISTERCORN
Despensa,Aperitivos y frutos secos,Mix de Encurtidos Pepinillos y Cebollas 380 Gr,"5,13 € / 1 Kg","1,95 €",RIOVERDE
Despensa,Aperitivos y frutos secos,Cóctel Salseo Bolsa 200 Gr,"10,95 € / 1 Kg","2,19 €",CONSUM
Despensa,Aperitivos y frutos secos,Pipas Tostadas sin Sal Bolsa 175 Gr,"7,37 € / 1 Kg","1,29 €",CONSUM
Despensa,Aperitivos y frutos secos,Snack Papadelta Sabor Jamón Bolsa 73 Gr,"23,15 € / 1 Kg","1,69 €",GREFUSA
Despensa,Aperitivos y frutos secos,Snack Gublins Sabor Barbacoa Bolsa 135 Gr,"12,52 € / 1 Kg","1,69 €",GREFUSA
Despensa,Aperitivos y frutos secos,Snack Boom Tijuana Bolsa 85 Gr,"19,88 € / 1 Kg","1,69 €",GREFUSA
Despensa,Aperitivos y frutos secos,Anacardos Crudos Bolsa 150 Gr,"11,67 € / 1 Kg","1,75 €",CONSUM
Despensa,Aperitivos y frutos secos,Patata Delicatessen Bolsa 120 Gr,"11,58 € / 1 Kg","1,39 €",ARGENTE
Despensa,Aperitivos y frutos secos,Pipas Piponazo Original Bolsa 119 Gr,"15,55 € / 1 Kg","1,85 €",GREFUSA
Despensa,Aperitivos y frutos secos,Cóctel Frutos Secos sin Sal 170 Gr,"12,88 € / 1 Kg","2,19 €",CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Onduladas Bolsa 160 Gr,"11,81 € / 1 Kg","1,89 €",RUFFLES
Despensa,Aperitivos y frutos secos,Aceituna Pimiento Asado Lata 150 Gr,"11,00 € / 1 Kg","1,65 €",CONSUM
Despensa,Aperitivos y frutos secos,Pipas Gigantes Tostadas Aguasal en Bolsa 200 Gr,"6,00 € / 1 Kg","1,20 €",CONSUM
Despensa,Aperitivos y frutos secos,Pipas Peladas Fritas Bolsa 150 Gr,"5,67 € / 1 Kg","0,85 €",CONSUM
Despensa,Aperitivos y frutos secos,Palomitas Microondas Pack de 3 3 x 100 Gr,"8,17 € / 1 Kg","2,45 €",POPITAS
Despensa,Aperitivos y frutos secos,Aceituna Rellena Anchoa Baja en Sal en Lata 150 Gr,"9,33 € / 1 Kg","1,40 €",CONSUM
Despensa,Aperitivos y frutos secos,Pipas Gigantes Tostadas con Sal Bolsa 200 Gr,"6,00 € / 1 Kg","1,20 €",CONSUM
